,zeq,apex,lat,lon,mlat,ne,Te,Tn,u,v
8446,355.9067214959505,389,-4.087,-43.995,0.06998793978751229,1180344.778752,1158.4833984375,,87.11460876464844,48.49949264526367
8447,350.62964367165387,389,-4.402,-43.881,0.07537162746347477,1200036.511744,1164.63427734375,,86.67964935302734,47.72368621826172
8448,344.96474160282014,389,-4.716,-43.768,0.08075531513943726,1216774.144,1186.1649169921875,,86.11380767822266,46.97379684448242
8449,338.91267205129407,389,-5.028,-43.654,0.08613900281539974,1228580.716544,1223.109130859375,,85.40637969970703,46.26369857788086
8450,332.4741366652843,389,-5.34,-43.541,0.09152269049136222,1233152.376832,1270.66748046875,,84.5233154296875,45.592079162597656
8451,325.6498818980117,389,-5.651,-43.427,0.09690637816732471,1228723.191808,1324.8685302734375,,83.44377899169922,44.976409912109375
8452,318.44069892117386,389,-5.961,-43.313,0.10229006584328719,1213523.820544,1384.0184326171875,,82.12751770019531,44.42816925048828
8453,310.84742353321235,389,-6.269,-43.2,0.10767375351924968,1185873.526784,1447.59375,,80.52635192871094,43.964805603027344
8454,302.8709360624234,389,-6.577,-43.086,0.11305744119521216,1144670.12608,1515.3966064453125,,78.58979034423828,43.6044807434082
8455,294.51216126489,389,-6.884,-42.973,0.11844112887117464,1089088.782336,1587.442138671875,,76.24108123779297,43.37234878540039
8456,285.77206821727486,389,-7.19,-42.859,0.12382481654713713,1019163.77088,1663.6461181640625,,73.39968872070312,43.30481719970703
8457,276.6516702044664,389,-7.495,-42.746,0.1292085042230996,935782.64576,1743.9395751953125,,69.94800567626953,43.43994140625
8458,267.15202460210276,389,-7.799,-42.632,0.1345921918990621,840911.814656,1827.4298095703125,,65.75348663330078,43.83477783203125
8459,257.2742327539954,389,-8.103,-42.519,0.13997587957502458,737544.962048,1908.260009765625,,60.63089370727539,44.552024841308594
8460,247.0194398444246,389,-8.405,-42.405,0.14535956725098706,629420.457984,1952.2073974609375,,54.364070892333984,45.68893051147461
8461,236.38883476539104,389,-8.707,-42.292,0.15074325492694954,521066.151936,1893.7659912109375,,46.65593719482422,47.35304641723633
8462,225.38364997877306,389,-9.007,-42.178,0.15612694260291202,416951.271424,1764.3909912109375,,37.14445114135742,49.7018928527832
8463,214.00516137343857,389,-9.307,-42.065,0.16151063027887452,321369.21088,1616.534423828125,,25.344470977783203,52.92637634277344
8464,202.254688117333,389,-9.606,-41.951,0.166894317954837,237617.872896,1462.040283203125,,10.64407730102539,57.290592193603516
8465,190.1335925045305,389,-9.904,-41.838,0.17227800563079948,167832.28928,1302.36865234375,,-7.000727653503418,62.684356689453125
8466,177.64327979730479,389,-10.202,-41.724,0.17766169330676196,112945.217536,1137.6502685546875,,-21.985719680786133,65.60040283203125
8467,164.78519806320492,389,-10.499,-41.611,0.18304538098272444,75831.86944,967.872802734375,,-25.547428131103516,60.6427116394043
8468,151.56083800717624,389,-10.794,-41.497,0.18842906865868694,51501.760512,793.010009765625,,-24.065664291381836,59.83367919921875
8469,137.97173279873186,389,-11.089,-41.384,0.19381275633464942,35237.249024,613.0408935546875,,-25.46479034423828,73.82896423339844
8470,124.01945789420643,389,-11.384,-41.27,0.1991964440106119,23252.344832,427.933349609375,,-7.594250202178955,30.751859664916992
8471,109.70563085410595,389,-11.677,-41.157,0.20458013168657438,26839.666688,232.90298461914062,,5.703603267669678,-6.351475715637207
8472,95.03191115557456,389,-11.97,-41.043,0.20996381936253686,14685.37856,175.09805297851562,,2.208793878555298,18.931339263916016
8473,79.99999999999909,389,-12.263,-40.93,0.21534750703849936,350.51088,201.8239288330078,,9.279972076416016,-10.979316711425781
8474,390.0,390,0.104,-45.47,0.0,987259.338752,1243.9622802734375,,85.94741821289062,59.26382064819336
8475,389.8032193285171,390,-0.226,-45.357,0.005392124860313278,987554.578432,1239.879150390625,,86.35335540771484,58.458160400390625
8476,389.2129001994472,390,-0.554,-45.243,0.010784249720626556,990921.162752,1235.1865234375,,86.72293853759766,57.64427185058594
8477,388.2291112662642,390,-0.88,-45.13,0.016176374580939835,997271.273472,1230.0726318359375,,87.04611206054688,56.82145309448242
8478,386.8519669425532,390,-1.206,-45.016,0.021568499441253112,1006498.807808,1224.3568115234375,,87.32879638671875,55.988399505615234
8479,385.0816273887049,390,-1.531,-44.903,0.02696062430156639,1018462.208,1218.102294921875,,87.55992126464844,55.1470832824707
8480,382.9182984932877,390,-1.854,-44.789,0.03235274916187967,1032971.288576,1211.2685546875,,87.74591064453125,54.305755615234375
8481,380.36223184910614,390,-2.176,-44.676,0.03774487402219295,1049814.6304,1203.9093017578125,,87.87393951416016,53.46044158935547
8482,377.41372472393687,390,-2.498,-44.562,0.043136998882506224,1068743.852032,1195.9971923828125,,87.94754791259766,52.61330795288086
8483,374.0731200259597,390,-2.818,-44.449,0.0485291237428195,1089368.424448,1187.631103515625,,87.95439910888672,51.77024459838867
8484,370.3408062638755,390,-3.137,-44.335,0.05392124860313278,1111288.840192,1178.889404296875,,87.89607238769531,50.93406295776367
8485,366.2172175017231,390,-3.455,-44.222,0.059313373463446055,1133956.95616,1170.167236328125,,87.75663757324219,50.1047248840332
8486,361.7028333084045,390,-3.771,-44.108,0.06470549832375934,1156699.389952,1162.3685302734375,,87.53617858886719,49.29240798950195
8487,356.7981787018998,390,-4.087,-43.995,0.07009762318407262,1178749.763584,1157.998291015625,,87.21418762207031,48.49159240722656
8488,351.5038240882186,390,-4.402,-43.881,0.0754897480443859,1199124.64384,1162.218994140625,,86.78624725341797,47.713844299316406
8489,345.82038519506114,390,-4.716,-43.768,0.08088187290469917,1216635.994112,1181.530517578125,,86.22840881347656,46.961734771728516
8490,339.74852300019666,390,-5.028,-43.654,0.08627399776501245,1229498.61376,1217.0662841796875,,85.5301284790039,46.24908447265625
8491,333.28894365461474,390,-5.34,-43.541,0.09166612262532572,1235196.96896,1264.1231689453125,,84.65746307373047,45.574520111083984
8492,326.44239840038244,390,-5.651,-43.427,0.097058247485639,1231904.571392,1318.263427734375,,83.58979797363281,44.95543670654297
8493,319.2096834832846,390,-5.961,-43.313,0.10245037234595228,1217813.54496,1377.508544921875,,82.28703308105469,44.40324020385742
8494,311.5916400602164,390,-6.269,-43.2,0.10784249720626556,1191194.525696,1441.233154296875,,80.70124816894531,43.935279846191406
8495,303.5891541013634,390,-6.577,-43.086,0.11323462206657883,1150889.230336,1509.2099609375,,78.78217315673828,43.56959915161133
8496,295.203156287158,390,-6.884,-42.973,0.11862674692689211,1096017.772544,1581.447509765625,,76.45336151123047,43.33122253417969
8497,286.4346219000454,390,-7.19,-42.859,0.12401887178720539,1026563.506176,1657.862060546875,,73.63456726074219,43.25641632080078
8498,277.28457071106186,390,-7.495,-42.746,0.12941099664751868,943374.270464,1738.3980712890625,,70.20849609375,43.38308334350586
8499,267.75406686123097,390,-7.799,-42.632,0.13480312150783194,848397.27104,1822.2520751953125,,66.04293823242188,43.76809310913086
8500,257.8442187378105,390,-8.103,-42.519,0.14019524636814523,744633.925632,1904.15380859375,,60.95297622680664,44.47393798828125
8501,247.5561788453806,390,-8.405,-42.405,0.1455873712284585,635855.896576,1952.1143798828125,,54.722740173339844,45.59771728515625
8502,236.89114367182083,390,-8.707,-42.292,0.1509794960887718,526652.407808,1898.69677734375,,47.0552864074707,47.24677658081055
